Team,Year,OWn%,BtRuns,BtWins,Fld%,Position,Target,CareerLen,Rank,Value,ARI,ATL,CHC,CIN,COL,LAD,MIA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN,BAL,BOS,CHW,CLE,DET,HOU,KCR,LAA,MIN,NYY,OAK,SEA,TBR,TEX,TOR
PIT,2018,0.436,-4.1,-0.4,0.977,OF,DET,6,18,18,0,2,0,2,0,2,2,1,0,0,20,0,3,2,0,0,0,0,0,6,0,0,1,0,1,2,0,0,0,1
ARI,2018,0.0,-0.5,-0.1,1.0,P,TEX,6,8,20,12,5,1,2,2,2,1,2,3,2,2,1,1,7,1,1,1,0,5,1,1,1,3,2,1,1,2,0,3,2
WSN,2018,0.0,-1.7,-0.2,1.0,P,SEA,7,13,10,3,3,1,1,0,0,1,4,1,3,0,2,3,2,2,0,1,0,2,0,1,0,1,4,1,0,1,1,0,0
PIT,2018,0.363,-2.2,-0.2,0.981,OF,CLE,2,18,18,0,0,0,2,0,0,1,2,1,1,14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
ARI,2018,0.33799999999999997,-12.5,-1.3,0.987,C,ATL,5,8,20,16,3,2,2,0,2,0,2,1,2,5,2,2,3,1,2,5,0,3,3,1,1,2,7,9,0,1,0,0,2
PIT,2018,0.0,-13.9,-1.4,0.792,P,CHW,8,18,18,1,0,1,0,0,1,0,1,1,1,11,1,2,0,1,0,1,0,2,2,0,0,0,0,4,0,0,0,0,1
ARI,2018,0.285,-19.3,-1.9,0.978,OF,BOS,5,8,20,14,2,1,5,2,1,0,5,2,1,1,0,5,3,2,1,5,3,2,0,1,1,4,1,0,0,1,0,0,3
SFG,2018,0.368,-9.7,-1.0,0.985,OF,NYM,4,17,4,0,1,0,0,0,0,0,0,6,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
COL,2018,0.515,-10.8,-1.1,0.981,OF,WSN,9,20,23,5,4,1,3,1,0,1,5,1,2,2,1,4,2,2,5,2,1,2,1,4,4,5,1,5,2,4,1,2,2
SFG,2018,0.321,-12.0,-1.2,0.99,OF,TEX,11,17,4,1,1,0,0,0,2,0,1,0,1,1,0,13,1,1,0,1,0,1,0,0,0,1,0,1,0,1,2,3,0
COL,2018,0.0,0.0,0.0,1.0,P,NYM,0,20,23,4,4,2,6,9,2,3,4,0,2,2,4,3,1,2,0,1,1,4,1,4,9,8,1,2,1,1,0,0,0
LAD,2018,0.5539999999999999,10.4,1.0,0.958,OF,CIN,5,12,2,1,2,1,3,1,13,1,1,3,1,1,5,2,2,0,1,1,0,2,2,3,0,2,1,2,1,3,1,1,0
MIA,2018,0.615,17.4,1.7,0.993,C,PHI,4,26,29,1,0,1,2,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
ATL,2018,0.574,-0.5,-0.1,0.967,OF,SFG,3,6,12,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PIT,2018,0.314,-7.9,-0.8,0.96,OF,PHI,10,18,18,3,3,2,2,1,0,1,2,1,1,21,1,4,0,1,2,2,0,4,0,1,1,3,3,1,1,2,0,2,0
ATL,2018,0.0,-1.7,-0.2,1.0,OF,BAL,2,6,12,1,7,1,1,1,1,1,3,0,3,1,0,1,3,0,0,0,1,0,0,6,0,0,1,1,3,1,0,1,0
PIT,2018,0.0,-0.6,-0.1,0.967,P,LAD,4,18,18,1,1,0,1,0,5,0,1,0,1,13,0,4,2,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,2
ATL,2018,0.0,-10.5,-1.1,0.946,P,WSN,12,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
PHI,2018,0.56,7.6,0.8,0.991,OF,CLE,8,11,9,0,1,1,0,1,4,0,1,2,1,0,2,3,1,0,1,2,0,12,1,1,0,2,0,2,0,2,1,0,1
ATL,2018,0.213,-1.7,-0.2,1.0,OF,TEX,4,6,12,1,0,1,0,0,0,0,1,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,5,1,0,1,0,1,0
MIL,2018,0.11599999999999999,-12.1,-1.2,0.966,OF,TBR,8,5,25,0,2,3,1,0,1,1,9,1,2,2,0,2,2,3,1,0,0,3,0,2,1,1,0,4,1,0,1,0,2
SDP,2018,0.406,-7.2,-0.7,0.9740000000000001,OF,MIL,4,19,17,3,0,1,3,0,2,1,3,0,0,0,8,1,2,0,0,1,0,2,1,0,0,1,1,1,0,1,0,0,0
SFG,2018,0.0,0.0,0.0,1.0,P,WSN,4,17,4,3,1,0,1,0,0,0,0,0,0,3,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0
COL,2018,0.049,-5.7,-0.6,1.0,OF,NYY,1,20,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
STL,2018,0.0,0.0,0.0,0.833,P,SEA,4,10,7,1,0,1,0,2,1,1,0,0,1,0,0,2,14,2,1,0,1,0,0,0,0,0,1,1,0,5,0,0,1
LAD,2018,0.0,0.0,0.0,1.0,P,SFG,3,12,2,1,1,1,1,0,0,1,0,0,2,0,1,1,1,1,0,0,0,1,1,1,0,0,1,3,0,0,1,0,1
STL,2018,0.028999999999999998,-5.7,-0.6,0.929,P,ARI,2,10,7,4,0,1,1,0,0,0,2,1,0,0,0,1,10,2,1,1,0,1,0,1,1,0,0,1,1,2,0,0,1
CIN,2018,0.43,-1.3,-0.1,1.0,OF,BAL,3,27,28,2,0,4,0,0,3,0,2,1,1,5,2,3,2,1,1,4,1,1,2,1,0,2,2,4,1,4,1,0,2
MIA,2018,0.0,0.0,0.0,1.0,P,CLE,2,26,29,0,1,1,3,1,0,6,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,2,2,1,0,0
LAD,2018,0.0,-10.8,-1.1,0.85,P,CIN,5,12,2,1,4,3,7,0,12,1,1,3,0,0,2,4,1,1,0,1,0,2,1,3,0,4,0,1,1,1,1,1,0
SEA,2017,0.568,3.2,0.3,0.99,OF,CLE,7,16,14,2,2,4,0,1,0,3,2,0,0,0,1,1,2,2,0,2,0,0,0,0,0,1,0,1,1,2,2,1,1
TBR,2017,0.0,-0.7,-0.1,0.9329999999999999,P,PIT,5,14,30,3,1,2,0,2,4,1,2,0,1,9,2,2,1,3,3,1,0,3,1,3,0,0,1,2,2,2,12,2,3
CLE,2017,0.0,0.0,0.0,1.0,P,SEA,0,2,27,1,1,2,2,2,0,2,1,1,0,0,0,0,3,1,0,1,0,15,0,1,0,1,1,1,0,1,1,0,0
BAL,2017,0.0,-0.3,0.0,1.0,P,MIL,2,21,19,0,1,1,0,1,0,0,3,0,12,1,1,0,0,0,1,2,2,1,0,1,0,1,1,0,0,0,1,7,0
NYY,2017,0.40700000000000003,-0.9,-0.1,1.0,OF,MIN,1,8,1,1,1,0,1,0,0,0,4,0,1,2,1,0,0,0,0,2,0,1,1,1,0,3,8,17,1,0,0,1,0
OAK,2017,0.0,0.0,0.0,1.0,P,LAD,8,22,29,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1
TOR,2017,0.384,-16.4,-1.6,0.9840000000000001,OF,PHI,22,19,15,26,24,25,21,21,27,17,23,25,18,22,19,23,20,17,16,22,9,17,20,22,20,18,19,23,18,13,20,21,12
TBR,2017,0.331,-6.8,-0.7,1.0,OF,ATL,7,14,30,2,3,1,0,0,0,0,0,0,5,0,0,2,4,0,2,0,0,0,0,1,0,3,1,0,0,0,1,0,1
TBR,2017,0.0,0.0,0.0,1.0,P,ARI,5,14,30,0,1,1,0,0,1,0,0,2,0,0,4,2,1,0,0,1,0,1,1,0,1,0,0,0,2,2,8,0,0
BAL,2017,0.0,0.0,0.0,0.9,P,NYY,6,21,19,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0
KCR,2017,0.34,-9.6,-0.9,0.995,C,COL,7,13,24,1,1,2,0,2,9,3,0,0,1,1,0,3,1,1,0,0,0,1,0,0,6,4,0,1,1,3,1,0,3
CHC,2017,0.145,-3.4,-0.3,0.97,OF,DET,1,7,4,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,0
TBR,2017,0.8290000000000001,1.7,0.2,1.0,C,CIN,3,14,30,1,2,2,6,0,4,1,1,1,1,1,2,1,0,0,2,1,0,1,5,1,1,0,1,0,1,1,7,0,2
TBR,2017,0.0,0.0,0.0,0.7,P,CHC,7,14,30,3,0,9,1,2,3,8,0,1,1,0,3,3,4,1,0,0,1,1,0,2,0,1,1,0,1,2,2,0,0
HOU,2017,0.0,0.0,0.0,0.75,P,TOR,10,3,13,4,2,1,1,0,1,1,0,1,0,0,1,1,1,4,0,1,0,2,1,0,0,0,0,2,1,2,1,0,2
TBR,2017,0.0,-1.7,-0.2,0.932,P,BAL,4,14,30,0,0,3,1,0,2,2,1,0,1,1,1,2,0,2,1,1,0,1,0,1,0,2,1,0,1,0,11,1,0
TBR,2017,0.0,0.0,0.0,1.0,P,SEA,4,14,30,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2,8,0,2
NYY,2017,0.614,0.9,0.1,1.0,OF,MIA,0,8,1,0,0,0,2,0,0,4,7,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0
CLE,2017,0.0,0.0,0.0,0.967,P,CIN,3,2,27,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0
LAA,2017,0.47100000000000003,-1.4,-0.1,0.995,OF,TBR,3,15,8,1,0,3,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,8,0,0,1,1,0,0,2
BOS,2017,0.253,-2.3,-0.2,0.9840000000000001,OF,CLE,11,6,3,4,8,8,1,6,6,2,6,6,3,4,2,5,10,6,3,8,2,18,13,3,2,7,1,8,4,3,4,3,7
DET,2017,0.0,-0.9,-0.1,1.0,OF,NYM,4,0,18,0,4,1,2,0,3,0,0,10,1,0,1,1,3,3,0,1,0,0,1,1,0,1,0,0,0,0,0,2,2
TEX,2017,0.0,0.0,0.0,0.967,P,ARI,5,17,11,2,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,1,7,0
TOR,2017,0.718,30.4,2.9,0.95,OF,CLE,7,19,15,2,1,1,1,1,4,2,3,2,0,0,0,1,1,0,2,3,0,4,1,3,1,1,1,1,0,1,2,3,6
SEA,2017,0.444,-6.6,-0.6,0.988,OF,ARI,7,16,14,1,4,1,2,0,1,3,1,0,0,2,0,2,0,1,2,2,2,2,1,1,12,1,2,3,0,3,3,1,1
MIN,2017,0.511,-1.8,-0.2,0.975,OF,ARI,6,11,22,9,2,1,0,0,1,1,1,2,2,1,0,1,3,0,1,2,2,1,1,1,2,2,7,2,1,1,3,0,0
HOU,2017,0.0,-0.3,0.0,0.667,P,PIT,2,3,13,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,1,2,0,1,1,1,2
BAL,2017,0.253,-2.6,-0.3,0.976,OF,ATL,5,21,19,1,2,3,1,2,1,4,1,0,3,1,0,0,0,0,9,1,0,1,0,2,2,0,0,1,1,1,4,1,1
NYY,2017,0.5479999999999999,3.1,0.3,0.958,OF,NYM,6,8,1,2,1,4,9,0,2,2,0,11,1,0,1,3,1,3,1,1,5,0,1,1,1,2,0,15,2,2,1,3,1
COL,2017,0.275,-5.5,-0.5,1.0,C,CHW,2,9,23,1,2,0,1,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,0,1
BAL,2017,0.0,-0.6,-0.1,0.963,P,ATL,4,21,19,4,5,4,3,4,1,3,1,1,3,1,0,1,3,2,9,5,1,0,3,2,2,1,0,1,0,0,2,3,1
MIN,2017,0.498,0.1,0.0,0.998,C,CHC,8,11,22,1,2,13,0,0,12,2,3,1,2,1,3,2,0,3,2,4,1,11,1,0,0,1,10,2,1,0,7,13,3
TOR,2017,0.316,-17.9,-1.7,0.986,OF,KCR,4,19,15,2,4,1,2,1,2,3,1,3,3,2,1,1,0,0,3,6,2,3,3,1,1,2,2,3,2,3,3,2,9
TEX,2017,0.5760000000000001,2.7,0.3,0.983,OF,TBR,10,17,11,1,1,0,0,1,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,3,0,2,0,2,0,1,2,0,1
STL,2017,0.0,0.5,0.0,0.967,P,SEA,3,12,7,4,1,2,3,3,1,1,0,2,1,3,1,1,17,2,1,0,0,2,1,2,0,2,0,0,1,5,0,0,0
KCR,2017,0.0,-0.8,-0.1,1.0,OF,CHC,3,13,24,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,7,1,1,2,1,1,0,1,1
PIT,2017,0.031,-6.0,-0.6,0.946,OF,CIN,4,20,17,4,3,0,0,0,1,0,0,0,0,2,1,0,0,1,1,0,0,2,1,1,0,1,1,0,0,1,0,0,1
TEX,2017,0.0,-0.9,-0.1,0.893,P,CHC,11,17,11,0,1,0,0,1,2,0,1,0,4,1,0,1,1,2,0,0,1,0,1,0,0,1,1,0,0,0,0,10,1
LAD,2017,0.0,0.0,0.0,1.0,P,OAK,19,1,2,0,0,0,0,2,15,6,1,1,1,0,1,2,0,0,0,0,0,1,0,1,1,1,0,1,1,0,3,0,0
OAK,2017,0.46799999999999997,0.8,0.1,0.965,OF,SEA,1,22,29,2,1,1,0,1,1,3,2,2,0,0,0,0,4,2,2,3,0,3,0,6,1,0,0,2,16,6,1,4,2
ARI,2017,0.0,0.0,0.0,1.0,P,CIN,7,5,20,17,5,3,10,1,4,1,2,1,6,1,0,1,1,3,1,0,0,3,1,4,0,12,2,1,1,2,3,1,1
KCR,2017,0.0,0.0,0.0,1.0,P,WSN,5,13,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,4,0,0,0,0,1,1,0,1
DET,2017,0.196,-2.3,-0.2,1.0,C,MIA,5,0,18,1,3,4,1,1,2,3,3,1,2,1,2,1,3,3,0,13,3,2,15,0,0,1,1,0,2,0,2,9,3
CHW,2017,0.0,0.5,0.0,0.875,P,SFG,8,27,16,2,3,10,0,1,3,1,2,1,1,5,0,3,2,1,3,2,1,3,0,5,2,4,2,2,1,1,3,11,1
TBR,2017,0.0,0.0,0.0,0.667,P,PHI,7,14,30,1,2,7,1,0,0,2,2,3,8,3,1,3,2,3,8,1,1,5,1,2,3,4,1,2,0,4,5,5,3
TBR,2017,0.0,0.0,0.0,1.0,P,MIL,5,14,30,0,0,1,0,1,0,1,1,0,1,0,1,1,2,0,1,0,2,1,0,0,0,1,0,1,0,0,2,0,0
NYY,2017,0.0,1.3,0.1,1.0,C,MIL,7,8,1,0,1,0,1,0,1,6,12,1,1,10,1,5,0,1,1,2,0,13,2,11,5,1,1,6,1,2,1,5,3
OAK,2017,0.0,-1.6,-0.2,1.0,OF,CHW,2,22,29,2,3,0,9,0,1,3,1,1,0,0,0,0,0,1,1,10,2,2,1,1,0,3,7,2,2,1,1,2,0
OAK,2017,0.29100000000000004,0.3,0.0,0.97,C,PIT,6,22,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0
HOU,2017,0.0,0.0,0.0,1.0,P,DET,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBR,2017,0.45899999999999996,0.2,0.0,0.968,OF,SFG,9,14,30,0,0,2,0,0,2,0,0,0,0,1,1,5,0,0,0,1,1,0,1,1,0,2,1,0,1,0,1,0,1
COL,2017,0.649,4.6,0.4,0.991,C,OAK,7,9,23,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
LAA,2017,0.304,-17.0,-1.7,0.998,C,HOU,6,15,8,2,2,1,1,2,2,3,8,2,1,0,2,0,2,0,2,1,0,3,2,11,3,13,2,3,1,2,2,2,2
BOS,2017,0.235,-11.6,-1.1,0.98,OF,ARI,2,6,3,2,1,2,2,0,0,1,1,3,1,0,0,0,1,0,1,17,1,2,3,0,2,2,1,1,2,1,0,2,1
ARI,2017,0.736,23.1,2.2,0.98,OF,BOS,6,5,20,2,5,3,1,2,1,1,1,0,0,1,1,3,1,2,0,4,0,1,10,4,0,4,3,1,0,2,1,2,2
HOU,2017,0.233,-2.4,-0.2,0.988,OF,MIA,10,3,13,0,0,0,0,2,1,14,2,1,1,1,0,3,2,0,0,1,1,2,1,9,0,3,0,11,0,2,1,0,1
CLE,2017,0.0,-2.0,-0.2,1.0,C,SDP,0,2,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
KCR,2017,0.0,0.0,0.0,1.0,P,TEX,7,13,24,1,4,1,0,0,2,1,0,1,0,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,2,0
CHC,2017,0.578,1.3,0.1,0.991,C,WSN,11,7,4,5,2,9,0,3,1,0,0,1,0,0,2,0,1,1,0,1,1,0,1,3,0,2,0,2,1,0,0,3,2
LAA,2017,0.0,0.0,0.0,0.967,P,SEA,3,15,8,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,1,2
SEA,2017,0.24,-15.2,-1.5,0.985,OF,MIN,1,16,14,0,0,1,0,0,0,1,2,1,0,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,2,2,0,1
KCR,2017,0.542,11.7,1.1,0.9620000000000001,OF,MIL,6,13,24,1,0,3,3,0,3,4,10,0,1,2,0,2,2,1,2,2,0,2,0,1,11,2,1,1,1,1,2,0,2
KCR,2017,0.0,0.0,0.0,0.95,P,ATL,11,13,24,1,15,2,2,2,9,4,1,1,0,0,2,4,1,3,5,1,1,2,3,4,11,3,1,0,1,1,3,2,2
SFG,2017,0.501,-1.0,-0.1,0.9540000000000001,OF,BOS,7,29,5,2,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,8,0,0,0,0,0,0,1,1,0,0,1,0,0
OAK,2017,0.46299999999999997,-0.6,-0.1,1.0,OF,BAL,1,22,29,0,0,3,1,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,8,1,0,1,0
TBR,2017,0.0,-0.1,0.0,0.895,P,MIN,3,14,30,2,1,2,0,0,1,0,0,1,1,1,2,1,2,1,1,2,0,1,0,2,1,2,11,0,1,1,10,0,0
CHW,2017,0.0,0.0,0.0,1.0,P,TOR,3,27,16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0
ATL,2017,0.442,-3.7,-0.4,0.985,OF,BOS,15,23,12,3,2,1,6,0,1,4,0,1,0,3,0,3,1,1,1,2,1,0,1,1,1,4,1,2,1,2,1,2,2
TBR,2017,0.185,-8.4,-0.8,0.9620000000000001,OF,PHI,7,14,30,2,6,3,0,1,2,3,2,1,3,1,0,2,2,1,0,0,0,1,1,1,2,3,10,2,5,2,5,2,0
TBR,2017,0.376,-1.5,-0.2,0.992,C,PHI,7,14,30,0,2,1,1,3,0,0,0,0,0,1,2,2,1,8,0,1,1,1,1,2,1,2,1,0,0,0,2,2,0
NYM,2017,0.0,0.0,0.0,1.0,P,MIN,5,25,6,4,1,3,1,1,1,1,0,3,1,1,0,0,1,2,2,3,1,2,1,0,1,0,2,1,0,2,1,1,0
LAA,2017,0.16399999999999998,-3.2,-0.3,1.0,OF,NYY,8,15,8,2,5,2,2,3,2,1,0,0,4,1,1,3,8,4,2,4,0,3,0,5,1,13,4,3,2,1,2,1,3
LAD,2017,0.0,0.0,0.0,1.0,P,TBR,9,1,2,1,0,0,0,0,3,3,0,2,0,1,3,11,1,1,0,1,0,0,0,0,0,2,2,0,0,0,2,2,1
DET,2017,0.0,0.0,0.0,1.0,P,CHW,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,0,0,0,0,0,0,0,0,0,0
ARI,2017,0.14,-6.9,-0.7,0.977,OF,CLE,9,5,20,11,1,1,0,1,3,1,3,2,3,0,2,0,0,3,0,4,1,2,1,1,1,2,1,0,9,3,1,6,1
TEX,2017,0.0,0.0,0.0,0.929,P,STL,7,17,11,1,2,3,0,1,4,3,1,1,1,2,7,3,1,4,0,1,1,1,2,1,1,1,2,1,1,3,2,4,2
DET,2017,0.0,-0.6,-0.1,0.769,P,ATL,11,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
CLE,2017,0.602,12.3,1.2,0.996,OF,PHI,7,2,27,1,4,1,0,0,3,2,1,2,0,1,2,1,1,1,1,3,0,13,2,1,0,2,1,2,0,2,1,2,1
CLE,2017,0.0,0.0,0.0,0.875,P,COL,6,2,27,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,2,1,0
TOR,2017,0.0,0.0,0.0,1.0,P,HOU,10,19,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,8,1,0,0,0,0,0,0
TBR,2017,0.584,15.6,1.5,0.976,OF,ARI,3,14,30,5,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,2,2,0,1,6,1,0
KCR,2017,0.0,0.0,0.0,1.0,P,SDP,1,13,24,0,0,0,0,0,0,2,2,0,0,0,11,0,0,0,0,0,0,1,0,0,11,0,0,0,1,1,1,1,1
CLE,2017,0.203,-13.0,-1.3,0.9590000000000001,OF,TOR,2,2,27,0,1,1,0,1,0,1,2,0,1,1,1,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1
SEA,2017,0.43,-1.4,-0.1,0.9890000000000001,OF,BAL,7,16,14,1,1,2,0,0,0,1,2,1,0,0,0,1,0,1,2,1,1,0,0,1,1,1,0,0,1,6,1,1,6
DET,2017,0.0,-1.0,-0.1,0.958,P,HOU,11,0,18,1,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,10,7,0,2,0,0,0,0,2,0,0
OAK,2017,0.754,1.0,0.1,1.0,OF,TBR,1,22,29,0,0,2,1,1,0,1,4,0,1,2,0,1,3,1,0,1,0,3,0,0,2,1,0,0,6,2,2,3,1
TBR,2017,0.0,0.0,0.0,1.0,P,ATL,3,14,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0
NYY,2017,0.46299999999999997,-1.3,-0.1,1.0,OF,CIN,2,8,1,1,2,4,0,0,3,2,2,3,0,4,2,3,1,1,1,6,0,1,2,2,0,2,1,6,1,2,1,2,2
BOS,2017,0.446,-5.2,-0.5,1.0,OF,LAA,12,6,3,2,0,2,1,1,1,1,1,0,0,0,0,0,1,1,1,12,0,0,1,0,0,3,0,6,1,0,1,1,1
ATL,2017,0.5920000000000001,7.1,0.7,0.988,OF,STL,5,23,12,3,13,1,0,0,1,0,0,1,1,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
STL,2017,0.0,0.0,0.0,0.667,P,MIA,0,12,7,0,0,0,0,0,1,4,1,0,1,1,0,1,3,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
CHC,2017,0.05,-10.3,-1.0,0.953,P,PHI,7,7,4,0,0,4,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0
SFG,2017,0.162,-10.5,-1.0,0.971,OF,TBR,0,29,5,0,0,0,1,1,0,0,1,1,1,0,1,9,0,0,0,1,0,0,1,0,0,0,4,2,1,0,1,1,0
ARI,2017,0.49200000000000005,-7.9,-0.8,0.97,OF,SFG,9,5,20,0,0,0,1,1,1,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
SDP,2017,0.37799999999999995,-3.4,-0.3,0.941,OF,LAA,1,24,21,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
PIT,2017,0.5429999999999999,0.7,0.1,1.0,OF,MIA,0,20,17,1,1,1,1,2,0,0,1,0,3,13,0,0,0,4,3,1,0,0,1,3,1,0,1,1,3,0,0,4,0
MIA,2017,0.662,24.3,2.3,0.9990000000000001,OF,PHI,3,18,25,2,0,5,1,3,4,15,1,1,1,0,2,1,0,0,0,0,1,0,1,3,0,2,1,0,2,1,1,0,0
MIL,2017,0.23399999999999999,-5.0,-0.5,1.0,OF,MIA,0,10,26,0,4,5,1,0,0,9,10,1,3,2,0,0,0,1,2,3,1,0,1,3,0,2,1,2,1,2,1,10,1
COL,2017,0.0,0.0,0.0,0.967,P,ATL,0,9,23,0,1,0,0,10,0,0,1,0,0,5,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
SDP,2017,0.11199999999999999,-5.6,-0.5,0.972,P,MIL,8,24,21,1,1,1,0,4,0,1,5,0,0,0,1,0,0,1,0,1,0,1,1,2,0,1,0,0,0,0,0,1,1
SFG,2017,0.0,0.0,0.0,0.9,P,PIT,0,29,5,1,0,1,1,0,0,0,0,1,0,15,1,12,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
LAD,2017,0.0,-3.8,-0.4,1.0,P,CHC,5,1,2,0,1,12,1,0,10,0,2,0,0,2,0,0,1,2,0,1,2,1,2,3,1,1,1,1,0,1,2,10,2
STL,2017,0.0,0.0,0.0,1.0,P,SEA,12,12,7,7,4,3,8,3,4,1,7,4,1,1,2,3,20,4,2,3,6,3,1,4,0,5,11,3,0,3,4,3,1
CIN,2017,0.501,-1.4,-0.1,0.98,OF,ATL,3,26,28,2,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
MIA,2017,0.331,-3.5,-0.3,1.0,C,SDP,9,18,25,0,2,0,0,0,9,5,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
SFG,2017,0.499,0.7,0.1,1.0,C,CIN,6,29,5,2,1,3,0,0,9,3,0,0,0,1,0,1,0,0,0,2,0,1,0,1,1,1,0,0,0,1,1,3,1
ATL,2017,0.153,-1.2,-0.1,1.0,C,SEA,0,23,12,2,7,4,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,1
PHI,2017,0.41600000000000004,-17.2,-1.7,0.9890000000000001,OF,SDP,5,28,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,2,0
LAD,2017,0.31,-9.4,-0.9,0.996,OF,NYM,13,1,2,0,2,2,0,0,16,4,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,1,2
WSN,2017,0.011000000000000001,-13.9,-1.4,1.0,P,MIL,7,4,10,0,1,1,1,1,1,1,0,2,0,1,1,2,1,3,1,1,1,0,1,1,0,1,1,0,0,2,2,1,1
MIA,2017,0.508,-2.8,-0.3,0.982,OF,SEA,6,18,25,2,2,1,1,3,6,8,1,3,1,3,2,2,1,3,0,2,1,1,0,1,2,5,2,0,1,3,2,1,0
